timestamp,prodi,jenis_kelamin,umur,suku,kabupaten,provinsi,asal_sekolah,jurusan_sekolah,ipk,kondisi_ekonomi,pendidikan_ayah,pendidikan_ibu,pekerjaan_ayah,pekerjaan_ibu,pendapatan_ayah,pendapatan_ibu,topik_minat,media_belajar,target_memproses,target_menerima,target_menyerap,target_memahami,durasi_belajar,motivasi,motivasi_lainnya,jurusan_std,kabupaten_std,jenis_kelamin_enc,jurusan_sekolah_enc,kabupaten_enc,pendapatan_ayah_enc,pendapatan_ibu_enc,durasi_belajar_enc,ipk_enc,ipk_kategori,media_buku,media_slide,media_video,media_interaktif,media_platform,media_forum,media_coding
2026-07-01 15:31:42.818,Teknik Informatika,Perempuan,20,Luwu,Luwu Timur ,Sulawesi Selatan ,SMAS Datok sulaiman Palopo ,IPS,3.62,Menengah,SD,SMP,Buruh / Petani / Nelayan,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.)",Active,Sensing,Verbal,Sequential,30 menit - 1 jam,Peningkatan keterampilan,-,IPS,Luwu Timur,1,3,7,2,2,2,3.62,3.50–4.00,0,0,1,0,0,0,0
2026-07-01 14:47:50.492,Teknik Informatika,Perempuan,21,Bugis ,Maros,Sulawesi Selatan ,MAN 1 BONE,IPS,3.5,Menengah,SMA,SMP,Pegawai Negeri Sipil (PNS),Tidak bekerja / Pensiunan,Rp 5.000.000 - Rp 8.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Video pembelajaran (YouTube, e-learning, dll.)",Reflective,Sensing,Visual,Sequential,Lebih dari 2 jam,Tantangan akademis,.,IPS,Maros,1,3,11,3,1,4,3.5,3.50–4.00,0,0,1,0,0,0,0
2026-07-01 14:40:09.331,Teknik Informatika,Perempuan,20,Bugis,Banggai,Sulawesi tengah,SMAN 1 Toili Barat,IPA,"3,9",Menengah,SMA,SMA,Pedagang / Wiraswasta,Pedagang / Wiraswasta,Kurang dari Rp 2.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,.,IPA,Lainnya,1,2,5,1,1,2,3.9,3.50–4.00,0,0,1,0,0,0,0
2026-07-01 13:21:58.694,Sistem Informasi,Perempuan,18,bugis,sinjai,Sulawesi Selatan ,SMA 10 SINJAI,IPS,"3,76",Menengah,SD,SD,Tidak bekerja / Pensiunan,Tidak bekerja / Pensiunan,Kurang dari Rp 2.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)",Buku teks atau modul cetak,Active,Sensing,Visual,Global,30 menit - 1 jam,Peningkatan keterampilan,tidak ada,IPS,Sinjai,1,3,15,1,1,2,3.76,3.50–4.00,1,0,0,0,0,0,0
2026-07-01 13:16:09.681,Teknik Informatika,Perempuan,22,Bugis,Sinjai,Sulawesi Selatan,SMAN1 SINJAI,IPA,3.79,Menengah,SMA,D4 / S1,Buruh / Petani / Nelayan,Tidak bekerja / Pensiunan,Kurang dari Rp 2.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Reflective,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,Tidak ada,IPA,Sinjai,1,2,15,1,3,2,3.79,3.50–4.00,0,0,0,0,1,1,0
2026-07-01 12:59:48.916,Teknik Informatika,Laki - Laki,21,Mandar,Morowali,Sulteng,Ma syawirdahlan,IPA,3.5,Menengah,SMA,SMA,Profesional (Dokter / Pengacara / dll.),Profesional (Dokter / Pengacara / dll.),Lebih dari Rp. 8.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.)",Active,Sensing,Visual,Global,30 menit - 1 jam,Penghargaan atau sertifikat,-,IPA,Morowali,0,2,12,4,1,2,3.5,3.50–4.00,0,0,1,1,0,1,0
2026-07-01 12:59:19.312,Teknik Informatika,Laki - Laki,20,Bugis,Luwu utara,Sulawesi selatan,Sma 4 Bone bone,IPA,"3,7",Menengah,SMP,SMA,Pedagang / Wiraswasta,Pedagang / Wiraswasta,Lebih dari Rp. 8.000.000 per bulan,Lebih dari Rp. 8.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.), Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.)",Reflective,Intuitive,Verbal,Global,30 menit - 1 jam,Tantangan akademis,-,IPA,Lainnya,0,2,5,4,4,2,3.7,3.50–4.00,0,0,1,0,0,1,0
2026-07-01 12:58:13.656,Teknik Informatika,Laki - Laki,21,Bugis,Bone,Sulawesi Selatan,SMAN 4 BONE,IPS,3.8,Menengah,D4 / S1,S2,TNI / Polri,Profesional (Dokter / Pengacara / dll.),Lebih dari Rp. 8.000.000 per bulan,Lebih dari Rp. 8.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Slide presentasi (PowerPoint) dari dosen, Media interaktif (simulasi, animasi, aplikasi edukasi)",Active,Intuitive,Visual,Global,30 menit - 1 jam,Peningkatan keterampilan,.,IPS,Bone,0,3,0,4,4,2,3.8,3.50–4.00,0,1,0,1,0,0,0
2026-05-09 16:45:55.656,Teknik Informatika,Laki - Laki,19 tahun,Bugis,Sigi,Sulawesi Tengah,Smkn 3 Palu,TKJ,3.6,Menengah,SMA,D4 / S1,TNI / Polri,Pegawai Negeri Sipil (PNS),Rp 2.000.000 - Rp 5.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Teknologi dan Inovasi Digital (Robotika, Internet of Things, Blockchain, Teknologi Baru lainnya)","Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Sensing,Visual,Sequential,1 - 2 jam,Peningkatan keterampilan,tidak adaa,TKJ,Lainnya,0,9,5,2,2,3,3.6,3.50–4.00,0,0,0,0,1,0,0
2026-05-01 17:10:11.538,Sistem Informasi,Perempuan,19,Bugis,KOTA MAKASSAR,SULAWESI SELATAN,SMA Negeri 2 Makassar,kurikulum merdeka,3,Menengah,D4 / S1,D4 / S1,Pedagang / Wiraswasta,Pegawai Negeri Sipil (PNS),Rp 2.000.000 - Rp 5.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Sistem dan Jaringan Komputer (Jaringan Komputer, Sistem Operasi, Cloud Computing, Keamanan Siber)","Buku teks atau modul cetak, Slide presentasi (PowerPoint) dari dosen",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Penghargaan atau sertifikat,tidak ada,Kurikulum Merdeka,Makassar,1,5,8,2,3,2,3.0,3.00–3.50,1,1,0,0,0,0,0
2026-04-30 08:56:01.247,Sistem Informasi,Laki - Laki,19,Makassar,Gowa,Sulawesi Selatan,SMKN3 MAKASSAR,Teknik Kendaraan Ringan,1,Tinggi,SMA,SMA,Karyawan Swasta,Karyawan Swasta,Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Buku teks atau modul cetak, ",Active,Sensing,Visual,Sequential,Lebih dari 2 jam,Peningkatan keterampilan,-,Lainnya,Gowa,0,6,2,3,3,4,1.0,< 2.75,1,0,0,0,0,0,0
2026-04-29 17:41:57.167,Teknik Informatika,Laki - Laki,22,Bugis makassar,Makassar,Sulawesi Selatan ,SMAN 21 MAKASSAR,IPS,3.88,Menengah,SMP,SMP,Pedagang / Wiraswasta,Tidak bekerja / Pensiunan,Kurang dari Rp 2.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Active,Intuitive,Visual,Sequential,1 - 2 jam,Peningkatan keterampilan,-,IPS,Makassar,0,3,8,1,2,3,3.88,3.50–4.00,0,0,1,0,1,0,1
2026-04-29 17:35:33.296,Lainnya:,Laki - Laki,23,-,Gowa,Sulawesi selatan,SMAN 9 MAKASSAR,IPA,3.23,Menengah,S2,SMA,Tidak bekerja / Pensiunan,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Media interaktif (simulasi, animasi, aplikasi edukasi)",Reflective,Sensing,Visual,Sequential,1 - 2 jam,Other..,Sesuai mood 😅,IPA,Gowa,0,2,2,2,1,3,3.23,3.00–3.50,0,0,0,1,0,0,0
2026-04-29 17:21:25.603,Teknik Informatika,Laki - Laki,21,Buton,Buton Selata,Sulawesi Tenggara ,SMAN 1 SIOMPU Barat ,IPA,3.88,Menengah,SMP,SMA,Pedagang / Wiraswasta,Pedagang / Wiraswasta,Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Buku teks atau modul cetak, Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Sensing,Visual,Sequential,Lebih dari 2 jam,Tantangan akademis,-,IPA,Lainnya,0,2,5,3,2,4,3.88,3.50–4.00,1,0,1,1,1,1,0
2026-04-29 15:36:30.065,Sistem Informasi,Perempuan,18,Bugis,Sinjai,Sulawesi Selatan,SMK Telkom Makassar,RPL,4,Menengah,D4 / S1,SMA,Tidak bekerja / Pensiunan,Profesional (Dokter / Pengacara / dll.),Rp 2.000.000 - Rp 5.000.000 per bulan,Lebih dari Rp. 8.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Buku teks atau modul cetak, Slide presentasi (PowerPoint) dari dosen, Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Reflective,Sensing,Visual,Global,30 menit - 1 jam,Peningkatan keterampilan,-,RPL,Sinjai,1,8,15,2,4,2,4.0,3.50–4.00,1,1,1,1,1,0,1
2026-04-29 15:28:09.080,Sistem Informasi,Perempuan,19,Bugis,Soppeng,Sulsel,Smantig soppeng,IPA,3.5,Menengah,D4 / S1,SMA,Buruh / Petani / Nelayan,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)",Buku teks atau modul cetak,Active,Sensing,Verbal,Sequential,1 - 2 jam,Tantangan akademis,-,IPA,Lainnya,1,2,5,2,1,3,3.5,3.50–4.00,1,0,0,0,0,0,0
2026-04-29 15:24:37.174,Teknik Informatika,Laki - Laki,23 Tahun,Bugis,Kota Makassar ,Sulawesi Selatan ,Man 1 Kota Makassar ,IPA,3.72,Menengah,S2,D4 / S1,Tidak bekerja / Pensiunan,Tidak bekerja / Pensiunan,Kurang dari Rp 2.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Komputasi Visual dan Interaksi (Pengolahan Citra Digital, Computer Vision, Interaksi Manusia dan Komputer, Multimedia)","Slide presentasi (PowerPoint) dari dosen, Media interaktif (simulasi, animasi, aplikasi edukasi)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,0,IPA,Makassar,0,2,8,1,1,2,3.72,3.50–4.00,0,1,0,1,0,0,0
2026-04-29 15:17:23.313,Sistem Informasi,Laki - Laki,18,mapanget,kota manado,sulawesi utara,sma n 1 kotamobagu,IPS,tidak ada,Menengah,SMA,D4 / S1,Buruh / Petani / Nelayan,Pegawai Negeri Sipil (PNS),Kurang dari Rp 2.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Forum diskusi online atau grup belajar (WhatsApp, Telegram, LMS, dll.)",Active,Sensing,Visual,Global,30 menit - 1 jam,Penghargaan atau sertifikat,tidak ad,IPS,Lainnya,0,3,5,1,1,2,3.71,3.50–4.00,0,0,0,0,0,1,0
2026-04-29 15:11:49.556,Sistem Informasi,Laki - Laki,23,Makassar,Makassar,SULAWESI SELATAN,SMAN 11 MAKASSAR,IPA,3.94,Menengah,SMA,SMA,TNI / Polri,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Teknologi dan Inovasi Digital (Robotika, Internet of Things, Blockchain, Teknologi Baru lainnya)","Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Sensing,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,-,IPA,Makassar,0,2,8,2,1,2,3.94,3.50–4.00,0,0,1,1,1,0,0
2026-04-29 15:08:03.164,Teknik Informatika,Laki - Laki,21,Bugis,Pangkep,SulawesiSelatan,SMAN 2 Pangkep,IPS,3.9,Menengah,SD,SMA,Pedagang / Wiraswasta,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Video pembelajaran (YouTube, e-learning, dll.)",Reflective,Sensing,Visual,Sequential,1 - 2 jam,Peningkatan keterampilan,-,IPS,Pangkep,0,3,13,2,1,3,3.9,3.50–4.00,0,0,1,0,0,0,0
2026-04-29 14:59:37.531,Lainnya:,Perempuan,21,Bugis,Kota Jayapura,Papua,SMA N 4 Jayapura,IPA,3.9,Menengah,SMA,SMA,Pedagang / Wiraswasta,Tidak bekerja / Pensiunan,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Data dan Kecerdasan Buatan (Basis Data, Kecerdasan Buatan, Machine Learning, Data Mining)","Slide presentasi (PowerPoint) dari dosen, Video pembelajaran (YouTube, e-learning, dll.)",Active,Intuitive,Verbal,Sequential,1 - 2 jam,Peningkatan keterampilan,-,IPA,Lainnya,1,2,5,2,1,3,3.9,3.50–4.00,0,1,1,0,0,0,0
2026-04-29 14:46:13.406,Teknik Informatika,Laki - Laki,22 Tahun,Bugis,Kendari,Sulawesi Tenggara,SMAN 02 Kendari,IPA,"3,70",Menengah,D4 / S1,SMA,Pegawai Negeri Sipil (PNS),Pedagang / Wiraswasta,Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Komputasi Visual dan Interaksi (Pengolahan Citra Digital, Computer Vision, Interaksi Manusia dan Komputer, Multimedia)","Slide presentasi (PowerPoint) dari dosen, Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Sensing,Visual,Sequential,1 - 2 jam,Peningkatan keterampilan,-,IPA,Kendari,0,2,3,3,2,3,3.7,3.50–4.00,0,1,0,0,1,0,0
2026-04-29 14:34:04.956,Teknik Informatika,Perempuan,20,Bugis,Luwu Timur,Sulawesi Selatan,MAS Nurul Junaidiyah Lauwo,IPA,3.61,Menengah,SMA,SD,Tidak bekerja / Pensiunan,Pedagang / Wiraswasta,Kurang dari Rp 2.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.)",Reflective,Intuitive,Visual,Global,30 menit - 1 jam,Tantangan akademis,.,IPA,Luwu Timur,1,2,7,1,1,2,3.61,3.50–4.00,0,0,1,0,0,0,0
2026-04-29 14:19:34.313,Teknik Informatika,Perempuan,19,Bugis,Pangkep,Sulawesi Selatan,SMAN 13 PANGKEP,Kumer,3.9,Menengah,SMA,SMA,Karyawan Swasta,Pedagang / Wiraswasta,Rp 2.000.000 - Rp 5.000.000 per bulan,Kurang dari Rp 2.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Media interaktif (simulasi, animasi, aplikasi edukasi), Coding platform atau IDE (misalnya: repl.it, Jupyter, VS Code)",Reflective,Sensing,Verbal,Sequential,30 menit - 1 jam,Peningkatan keterampilan,-,Lainnya,Pangkep,1,6,13,2,1,2,3.9,3.50–4.00,0,0,0,1,0,0,1
2026-04-29 14:05:37.019,Sistem Informasi,Laki - Laki,20,Bugis,Kota Tual,Maluku,SMA NEGRI 2 TUAL,IPA,3.8,Menengah,D4 / S1,D4 / S1,Pegawai Negeri Sipil (PNS),Pegawai Negeri Sipil (PNS),Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 5.000.000 - Rp 8.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.)",Reflective,Sensing,Visual,Sequential,30 menit - 1 jam,Penghargaan atau sertifikat,tidak ada,IPA,Lainnya,0,2,5,3,3,2,3.8,3.50–4.00,0,0,1,0,0,0,0
2026-04-23 11:35:17.348,Teknik Informatika,Laki - Laki,20,-,-,NTT,Man Kupang ,IPA,3.8,Menengah,D4 / S1,D4 / S1,Pedagang / Wiraswasta,Profesional (Dokter / Pengacara / dll.),Rp 5.000.000 - Rp 8.000.000 per bulan,Rp 2.000.000 - Rp 5.000.000 per bulan,"Pengembangan Perangkat Lunak (Pemrograman, Rekayasa Perangkat Lunak, Pengembangan Web & Aplikasi Mobile)","Video pembelajaran (YouTube, e-learning, dll.), Media interaktif (simulasi, animasi, aplikasi edukasi), Website atau platform pembelajaran daring (Coursera, Udemy, Dicoding, dll.)",Active,Intuitive,Visual,Sequential,30 menit - 1 jam,Peningkatan keterampilan,-,IPA,Lainnya,0,2,5,3,2,2,3.8,3.50–4.00,0,0,1,1,1,0,0
